clone, livePop, historicPop, divRt, movRt, rA, hA, generations, seed, nInitCell, w, h, 
, 0, 2, 0.1, 0.0, 0.5, 0.0, 100, 123, 1, 50, 50, 
, 0, 2, 0.1, 0.0, 0.5, 0.0, 100, 123, 1, 50, 50, 
, 0, 2, 0.1, 0.0, 0.5, 0.0, 200, 123, 1, 50, 50, 
, 0, 2, 0.1, 0.0, 0.5, 0.0, 200, 123, 1, 50, 50, 
, 0, 2, 0.1, 0.0, 0.5, 0.05, 100, 123, 1, 50, 50, 
, 0, 2, 0.1, 0.0, 0.5, 0.05, 100, 123, 1, 50, 50, 
, 0, 2, 0.1, 0.0, 0.5, 0.05, 200, 123, 1, 50, 50, 
, 0, 2, 0.1, 0.0, 0.5, 0.05, 200, 123, 1, 50, 50, 
, 0, 2, 0.1, 0.0, 0.5, 0.1, 100, 123, 1, 50, 50, 
, 0, 2, 0.1, 0.0, 0.5, 0.1, 100, 123, 1, 50, 50, 
, 0, 2, 0.1, 0.0, 0.5, 0.1, 200, 123, 1, 50, 50, 
, 0, 2, 0.1, 0.0, 0.5, 0.1, 200, 123, 1, 50, 50, 
, 0, 2, 0.1, 0.0, 0.5, 0.15000000000000002, 100, 123, 1, 50, 50, 
, 0, 2, 0.1, 0.0, 0.5, 0.15000000000000002, 100, 123, 1, 50, 50, 
, 0, 2, 0.1, 0.0, 0.5, 0.15000000000000002, 200, 123, 1, 50, 50, 
, 0, 2, 0.1, 0.0, 0.5, 0.15000000000000002, 200, 123, 1, 50, 50, 
, 0, 2, 0.1, 0.0, 0.5, 0.2, 100, 123, 1, 50, 50, 
, 0, 2, 0.1, 0.0, 0.5, 0.2, 100, 123, 1, 50, 50, 
, 0, 2, 0.1, 0.0, 0.5, 0.2, 200, 123, 1, 50, 50, 
, 0, 2, 0.1, 0.0, 0.5, 0.2, 200, 123, 1, 50, 50, 
, 0, 1, 0.1, 0.0, 0.5, 0.25, 100, 123, 1, 50, 50, 
, 0, 1, 0.1, 0.0, 0.5, 0.25, 100, 123, 1, 50, 50, 
, 0, 1, 0.1, 0.0, 0.5, 0.25, 200, 123, 1, 50, 50, 
, 0, 1, 0.1, 0.0, 0.5, 0.25, 200, 123, 1, 50, 50, 
, 0, 2, 0.1, 0.0, 0.5, 0.3, 100, 123, 1, 50, 50, 
, 0, 2, 0.1, 0.0, 0.5, 0.3, 100, 123, 1, 50, 50, 
, 0, 2, 0.1, 0.0, 0.5, 0.3, 200, 123, 1, 50, 50, 
, 0, 2, 0.1, 0.0, 0.5, 0.3, 200, 123, 1, 50, 50, 
, 0, 1, 0.1, 0.0, 0.5, 0.35, 100, 123, 1, 50, 50, 
, 0, 1, 0.1, 0.0, 0.5, 0.35, 100, 123, 1, 50, 50, 
, 0, 1, 0.1, 0.0, 0.5, 0.35, 200, 123, 1, 50, 50, 
, 0, 1, 0.1, 0.0, 0.5, 0.35, 200, 123, 1, 50, 50, 
, 0, 2, 0.1, 0.0, 0.5, 0.39999999999999997, 100, 123, 1, 50, 50, 
, 0, 2, 0.1, 0.0, 0.5, 0.39999999999999997, 100, 123, 1, 50, 50, 
, 0, 2, 0.1, 0.0, 0.5, 0.39999999999999997, 200, 123, 1, 50, 50, 
, 0, 2, 0.1, 0.0, 0.5, 0.39999999999999997, 200, 123, 1, 50, 50, 
, 0, 6, 0.1, 0.0, 0.6, 0.0, 100, 123, 1, 50, 50, 
, 0, 6, 0.1, 0.0, 0.6, 0.0, 100, 123, 1, 50, 50, 
, 0, 6, 0.1, 0.0, 0.6, 0.0, 200, 123, 1, 50, 50, 
, 0, 6, 0.1, 0.0, 0.6, 0.0, 200, 123, 1, 50, 50, 
, 0, 2, 0.1, 0.0, 0.6, 0.05, 100, 123, 1, 50, 50, 
, 0, 2, 0.1, 0.0, 0.6, 0.05, 100, 123, 1, 50, 50, 
, 0, 2, 0.1, 0.0, 0.6, 0.05, 200, 123, 1, 50, 50, 
, 0, 2, 0.1, 0.0, 0.6, 0.05, 200, 123, 1, 50, 50, 
, 0, 2, 0.1, 0.0, 0.6, 0.1, 100, 123, 1, 50, 50, 
, 0, 2, 0.1, 0.0, 0.6, 0.1, 100, 123, 1, 50, 50, 
, 0, 2, 0.1, 0.0, 0.6, 0.1, 200, 123, 1, 50, 50, 
, 0, 2, 0.1, 0.0, 0.6, 0.1, 200, 123, 1, 50, 50, 
, 0, 2, 0.1, 0.0, 0.6, 0.15000000000000002, 100, 123, 1, 50, 50, 
, 0, 2, 0.1, 0.0, 0.6, 0.15000000000000002, 100, 123, 1, 50, 50, 
, 0, 2, 0.1, 0.0, 0.6, 0.15000000000000002, 200, 123, 1, 50, 50, 
, 0, 2, 0.1, 0.0, 0.6, 0.15000000000000002, 200, 123, 1, 50, 50, 
, 0, 2, 0.1, 0.0, 0.6, 0.2, 100, 123, 1, 50, 50, 
, 0, 2, 0.1, 0.0, 0.6, 0.2, 100, 123, 1, 50, 50, 
, 0, 2, 0.1, 0.0, 0.6, 0.2, 200, 123, 1, 50, 50, 
, 0, 2, 0.1, 0.0, 0.6, 0.2, 200, 123, 1, 50, 50, 
, 0, 2, 0.1, 0.0, 0.6, 0.25, 100, 123, 1, 50, 50, 
, 0, 2, 0.1, 0.0, 0.6, 0.25, 100, 123, 1, 50, 50, 
, 0, 2, 0.1, 0.0, 0.6, 0.25, 200, 123, 1, 50, 50, 
, 0, 2, 0.1, 0.0, 0.6, 0.25, 200, 123, 1, 50, 50, 
, 0, 2, 0.1, 0.0, 0.6, 0.3, 100, 123, 1, 50, 50, 
, 0, 2, 0.1, 0.0, 0.6, 0.3, 100, 123, 1, 50, 50, 
, 0, 2, 0.1, 0.0, 0.6, 0.3, 200, 123, 1, 50, 50, 
, 0, 2, 0.1, 0.0, 0.6, 0.3, 200, 123, 1, 50, 50, 
, 0, 2, 0.1, 0.0, 0.6, 0.35, 100, 123, 1, 50, 50, 
, 0, 2, 0.1, 0.0, 0.6, 0.35, 100, 123, 1, 50, 50, 
, 0, 2, 0.1, 0.0, 0.6, 0.35, 200, 123, 1, 50, 50, 
, 0, 2, 0.1, 0.0, 0.6, 0.35, 200, 123, 1, 50, 50, 
, 0, 1, 0.1, 0.0, 0.6, 0.39999999999999997, 100, 123, 1, 50, 50, 
, 0, 1, 0.1, 0.0, 0.6, 0.39999999999999997, 100, 123, 1, 50, 50, 
, 0, 1, 0.1, 0.0, 0.6, 0.39999999999999997, 200, 123, 1, 50, 50, 
, 0, 1, 0.1, 0.0, 0.6, 0.39999999999999997, 200, 123, 1, 50, 50, 
, 0, 1, 0.1, 0.0, 0.7, 0.0, 100, 123, 1, 50, 50, 
, 0, 1, 0.1, 0.0, 0.7, 0.0, 100, 123, 1, 50, 50, 
, 0, 1, 0.1, 0.0, 0.7, 0.0, 200, 123, 1, 50, 50, 
, 0, 1, 0.1, 0.0, 0.7, 0.0, 200, 123, 1, 50, 50, 
, 0, 2, 0.1, 0.0, 0.7, 0.05, 100, 123, 1, 50, 50, 
, 0, 2, 0.1, 0.0, 0.7, 0.05, 100, 123, 1, 50, 50, 
, 0, 2, 0.1, 0.0, 0.7, 0.05, 200, 123, 1, 50, 50, 
, 0, 2, 0.1, 0.0, 0.7, 0.05, 200, 123, 1, 50, 50, 
, 0, 2, 0.1, 0.0, 0.7, 0.1, 100, 123, 1, 50, 50, 
, 0, 2, 0.1, 0.0, 0.7, 0.1, 100, 123, 1, 50, 50, 
, 0, 2, 0.1, 0.0, 0.7, 0.1, 200, 123, 1, 50, 50, 
, 0, 2, 0.1, 0.0, 0.7, 0.1, 200, 123, 1, 50, 50, 
, 27, 38, 0.1, 0.0, 0.7, 0.15000000000000002, 100, 123, 1, 50, 50, 
, 27, 38, 0.1, 0.0, 0.7, 0.15000000000000002, 100, 123, 1, 50, 50, 
, 632, 10858, 0.1, 0.0, 0.7, 0.15000000000000002, 200, 123, 1, 50, 50, 
, 632, 10858, 0.1, 0.0, 0.7, 0.15000000000000002, 200, 123, 1, 50, 50, 
, 0, 2, 0.1, 0.0, 0.7, 0.2, 100, 123, 1, 50, 50, 
, 0, 2, 0.1, 0.0, 0.7, 0.2, 100, 123, 1, 50, 50, 
, 0, 2, 0.1, 0.0, 0.7, 0.2, 200, 123, 1, 50, 50, 
, 0, 2, 0.1, 0.0, 0.7, 0.2, 200, 123, 1, 50, 50, 
, 0, 1, 0.1, 0.0, 0.7, 0.25, 100, 123, 1, 50, 50, 
, 0, 1, 0.1, 0.0, 0.7, 0.25, 100, 123, 1, 50, 50, 
, 0, 1, 0.1, 0.0, 0.7, 0.25, 200, 123, 1, 50, 50, 
, 0, 1, 0.1, 0.0, 0.7, 0.25, 200, 123, 1, 50, 50, 
, 0, 2, 0.1, 0.0, 0.7, 0.3, 100, 123, 1, 50, 50, 
, 0, 2, 0.1, 0.0, 0.7, 0.3, 100, 123, 1, 50, 50, 
, 0, 2, 0.1, 0.0, 0.7, 0.3, 200, 123, 1, 50, 50, 
, 0, 2, 0.1, 0.0, 0.7, 0.3, 200, 123, 1, 50, 50, 
, 0, 1, 0.1, 0.0, 0.7, 0.35, 100, 123, 1, 50, 50, 
, 0, 1, 0.1, 0.0, 0.7, 0.35, 100, 123, 1, 50, 50, 
, 0, 1, 0.1, 0.0, 0.7, 0.35, 200, 123, 1, 50, 50, 
, 0, 1, 0.1, 0.0, 0.7, 0.35, 200, 123, 1, 50, 50, 
, 0, 1, 0.1, 0.0, 0.7, 0.39999999999999997, 100, 123, 1, 50, 50, 
, 0, 1, 0.1, 0.0, 0.7, 0.39999999999999997, 100, 123, 1, 50, 50, 
